451,How  can I change my password?,"1- click on the student tab on the top main menu.
2- click on the my profile link.
3- click on change my password link.
4- change you password and submit the form.
5- make sure to read the system message.",EM692,0
452,You forget your password?,"1. go to login page.
2. click on forget my password.
3. enter your email and submit the form.
4. check your email for your password.",EM692,0
453,T or F: When solving for Time Value of Money calculations it is important to combine economic and uncertain factors to make a decision?,"False: Combine economic and noneconomic factors to make a recommendation or decision
",EM692,0
454,What method has the advantage of reducing all revenues and costs to a single percentage number?,"a. IPO
b. ROR
c. IRR
d. IRA
e. Both b and c 

Answer
e.  Both b and c

Using the internal rate of return (IRR) or rate of return (ROR) method has the advantage of reducing all revenues and costs to a single percentage number.

Chapter 7; page 259",EM692,0
455,How can we make the best decision?,"Manager may make the decision based on not only quantitative data but also qualitative factors. The best decision methods should combine historical data, statistics, and analysis with experience, judgement, common sense, and other qualitative factors.

Reference: Bowman, M. (2003). Applied economic analysis for technologists, engineers, and managers. (2nd ed. p. 275) Upper Saddle River, NJ: Prentice Hall.",EM692,0
456,Which of the following is not estimating for future values in uncertain situation:,"Correct answer is 3 and you can see the answer in page 200. 

This is for Chapter 6.",EM692,0
457,Which option below is not a factor to choose a preferred alternative projects?,"A. Choose the project which has highest money back 
B. Choose the project which has the accepted risk
 C. Choose the project which is most needed by customer.
 D Choose the project from comarsion with IRR and desired ROI
 Correct answer: A",EM692,0
458,"When making plans for personal retirement, what two things should be considered?","Risk and return.


Ch. 6, pg. 229",EM692,0
459,T/F.  Selecting the alternative with the lowest annual cost is one of the steps of the Future Worth Method.,"False. Selecting the alternative with the lowest annual cost is one of the steps of the Annual Amount Method.

Ch. 7, pg. 249",EM692,0
460,What can we do if we want the cost getting lower in breakeven point?,"The answer: We should produce more outputs. 




",EM692,0
461,"1-	(SA Ch9): Minimum coast analysis is another tool that will help reduce costs and increase:",Correct answer is: (a) ROI. (p.343),EM692,0
